DATE,REEF,SITE,RESEARCH_SITE,BLEACHING_SURFACE_1,BLEACHING_POPULATION_1,DAMAGE_ANCHOR_1,DAMAGE_DYNAMITE_1,DAMAGE_OTHER_1,DISEASE_COLONIES_1,DISEASE_POPULATION_1,SCARS_COTS_1,SCARS_DRUPELLA_1,SCARS_UNKNOWN_1,FISHINGLINE_1,TRASH_FISHNETS_1,TRASH_GENERAL_1,RARE_ANIMALS_1,BLEACHING_SURFACE_2,BLEACHING_POPULATION_2,DAMAGE_ANCHOR_2,DAMAGE_DYNAMITE_2,DAMAGE_OTHER_2,DISEASE_COLONIES_2,DISEASE_POPULATION_2,SCARS_COTS_2,SCARS_DRUPELLA_2,SCARS_UNKNOWN_2,FISHINGLINE_2,TRASH_FISHNETS_2,TRASH_GENERAL_2,RARE_ANIMALS_2,BLEACHING_SURFACE_3,BLEACHING_POPULATION_3,DAMAGE_ANCHOR_3,DAMAGE_DYNAMITE_3,DAMAGE_OTHER_3,DISEASE_COLONIES_3,DISEASE_POPULATION_3,SCARS_COTS_3,SCARS_DRUPELLA_3,SCARS_UNKNOWN_3,FISHINGLINE_3,TRASH_FISHNETS_3,TRASH_GENERAL_3,RARE_ANIMALS_3,BLEACHING_SURFACE_4,BLEACHING_POPULATION_4,DAMAGE_ANCHOR_4,DAMAGE_DYNAMITE_4,DAMAGE_OTHER_4,DISEASE_COLONIES_4,DISEASE_POPULATION_4,SCARS_COTS_4,SCARS_DRUPELLA_4,SCARS_UNKNOWN_4,FISHINGLINE_4,TRASH_FISHNETS_4,TRASH_GENERAL_4,RARE_ANIMALS_4
9/09/2017 14:30,Flat Rock Island,The Nursery,1,5,1,0,0,1,0,0,0,0,3,0,0,0,0,5,1,0,0,2,0,0,0,0,1,0,0,0,0,40,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
5/03/2016 12:45,Flat Rock Island,The Nursery,1,36,5,0,0,0,0,0,0,2,0,0,0,0,0,35,5,0,0,1,0,0,0,3,2,0,0,0,0,48,5,0,0,0,0,0,0,0,2,0,0,0,0,30,5,0,0,1,0,0,0,0,1,0,0,0,0
27/11/2011 14:00,Flat Rock Island,The Nursery,1,50,1,0,0,2,2,0,0,1,2,0,0,1,1,0,0,0,0,3,2,0,0,0,1,0,0,0,1,15,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1,0,0,0,2,0,0,0,0
22/08/2010 0:00,Flat Rock Island,The Nursery,1,40,1,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,2,2,0,0,0,3,0,0,0,0,50,1,0,0,2,1,0,0,0,1,3,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0
13/09/2015 0:00,Flat Rock Island,The Nursery,1,10,50,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
25/08/2013 13:30,Flat Rock Island,The Nursery,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
25/08/2018 11:00,Flat Rock Island,The Nursery,1,16,5,0,0,0,1,0,0,0,0,0,0,0,1,14,5,0,0,0,3,0,0,0,0,0,0,0,0,5,1,0,0,0,2,0,0,3,0,0,0,0,1,3,1,0,0,0,2,0,0,0,1,0,0,0,0
23/11/2014 10:00,Flat Rock Island,The Nursery,1,5,5,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5/10/2008 0:00,Flat Rock Island,The Nursery,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
8/10/2016 8:00,Flat Rock Island,The Nursery,1,10,5,0,0,3,0,0,0,0,0,0,0,0,0,40,30,0,0,0,3,5,0,0,0,0,0,0,0,10,10,0,0,5,2,5,0,0,0,0,0,0,0,40,5,0,0,2,3,5,0,0,0,0,0,0,0
25/06/2009 0:00,Flat Rock Island,The Nursery,1,30,5,0,0,3,0,0,0,0,0,0,0,0,0,30,5,0,0,1,0,0,0,1,1,0,0,0,0,10,1,0,0,1,1,0,0,0,3,0,0,0,0,20,1,0,0,0,7,0,0,0,5,1,0,1,1
19/11/2011 10:00,Flinders Reef,Alden's Cave,1,5,1,0,0,1,0,0,0,1,4,0,0,0,0,12,1,0,0,0,1,0,0,0,1,1,0,0,0,5,1,0,0,0,2,0,0,0,0,0,0,0,0,5,1,0,0,3,2,0,0,0,4,0,0,0,0
20/12/2017 12:50,Flinders Reef,Alden's Cave,1,50,10,0,0,0,0,0,0,0,0,0,0,0,0,49,10,0,0,0,2,0,0,0,0,0,0,0,0,60,10,0,0,0,3,0,0,0,0,0,0,0,0,43,10,0,0,0,2,0,0,0,0,0,0,0,0
17/10/2010 0:00,Flinders Reef,Alden's Cave,1,0,0,0,0,4,6,0,0,2,6,0,0,0,0,0,0,0,0,2,3,0,0,2,3,0,0,0,0,0,0,0,0,5,5,0,0,1,3,0,0,0,0,0,0,0,0,2,3,0,0,0,2,0,0,0,0
4/01/2015 10:00,Flinders Reef,Alden's Cave,1,1,1,2,0,2,1,0,0,1,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,1,0,0,1,0,0,0,0,1,5,1,2,0,0,0,0,0,2,0,0,0,0,2
13/12/2015 12:00,Flinders Reef,Alden's Cave,1,32,40,0,0,0,0,0,0,0,3,0,0,0,0,33,40,0,0,0,1,0,0,0,2,0,0,0,0,36,30,0,0,1,1,0,0,0,2,0,0,0,0,27,30,0,0,0,1,0,0,0,1,0,0,0,0
14/11/2009 0:00,Flinders Reef,Alden's Cave,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0
20/01/2019 12:00,Flinders Reef,Alden's Cave,1,25,20,0,0,1,0,0,0,0,3,0,0,0,0,20,10,0,0,2,0,0,0,0,0,0,0,0,0,20,10,0,0,0,0,0,0,1,2,0,0,0,0,10,10,0,0,2,0,0,0,1,1,0,0,0,0
6/11/2016 10:00,Flinders Reef,Alden's Cave,1,40,1,0,0,0,3,0,0,0,0,0,0,0,0,90,1,0,0,0,0,0,0,0,2,0,0,0,0,67,1,0,0,0,0,0,0,0,1,0,0,0,0,61,1,0,0,0,0,0,0,0,0,0,0,0,0
30/11/2008 0:00,Flinders Reef,Alden's Cave,1,60,5,0,0,0,0,0,0,0,0,0,0,1,0,15,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/11/2016 9:40,Flinders Reef,Alden's Cave,2,8,1,0,0,2,3,0,0,0,3,0,0,0,0,4,1,0,0,1,2,0,0,0,2,0,0,0,0,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0
20/10/2013 10:00,Flinders Reef,Alden's Cave,2,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,10,1,0,0,0,0,0,0,0,1,0,0,0,0,20,1,0,0,1,0,0,0,0,0,0,0,0,0
26/05/2019 9:00,Flinders Reef,Alden's Cave,3,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/01/2016 12:00,Flinders Reef,Alden's Cave,3,30,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,3,1,0,0,0,1,0,0,0,2,0,0,0,0,50,1,0,0,0,0,0,0,0,3,0,0,0,0
